,Id,LotFrontage,LotArea,OverallQual,OverallCond,YearBuilt,YearRemodAdd,MasVnrArea,ExterQual,ExterCond,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,HeatingQC,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Fireplaces,FireplaceQu,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,Fence,MiscVal,YrSold,SalePrice
12,345,36,2592,5,3,1976,1976,0,2,2,4,3,1,3,129,4,232,175,536,2,536,576,0,1112,0,0,1,1,3,1,2,4,0,0,1976,1,1,336,3,3,3,182,0,0,0,0,0,0,0,2010,85000
13,491,0,2665,5,6,1976,1976,0,2,2,4,3,2,1,0,1,0,264,264,2,616,688,0,1304,0,0,1,1,3,1,2,4,1,4,1976,3,1,336,3,3,3,141,24,0,0,0,0,0,0,2008,115000
14,916,21,2001,4,5,1970,1970,80,2,2,3,3,1,1,0,1,0,546,546,1,546,546,0,1092,0,0,1,1,3,1,2,6,0,0,1970,1,1,286,3,3,3,0,0,0,0,0,0,0,0,2007,75000
15,1008,21,2217,4,4,1970,1970,0,2,2,3,3,1,4,273,2,273,0,546,2,546,546,0,1092,0,0,1,1,3,1,2,6,0,0,1970,2,1,286,3,3,3,238,0,0,0,0,0,0,0,2009,88000
16,1039,21,1533,4,6,1970,2008,0,2,2,3,3,1,1,0,1,0,546,546,2,798,546,0,1344,0,0,1,1,3,1,2,6,1,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,2009,97000
17,1069,42,3964,6,4,1973,1973,0,2,2,4,3,1,5,837,1,0,105,942,3,1291,1230,0,2521,1,0,2,1,5,1,2,10,1,4,1973,3,2,576,3,3,3,728,20,0,0,0,0,4,0,2006,151400
18,1087,0,1974,4,5,1973,1973,0,2,2,3,3,1,4,334,1,0,212,546,2,546,546,0,1092,0,0,1,1,3,1,2,6,0,0,1973,2,1,286,3,3,3,120,96,0,0,0,0,0,0,2010,83500
19,1368,41,2665,5,6,1977,1977,0,2,2,3,3,1,5,548,3,173,36,757,4,925,550,0,1475,0,0,2,0,4,1,2,6,1,3,1977,2,1,336,3,3,3,104,26,0,0,0,0,0,0,2006,127000
20,1615,21,1476,4,7,1970,1970,0,2,2,3,3,1,6,176,1,0,370,546,4,546,546,0,1092,0,0,1,1,3,1,2,5,0,0,0,0,0,0,0,0,3,200,26,0,0,0,0,0,0,2010,NA
21,1616,21,1900,4,4,1970,1970,0,2,2,3,3,1,1,0,1,0,546,546,4,546,546,0,1092,0,0,1,1,3,1,2,5,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,2010,NA
22,1617,21,1890,4,6,1972,1972,0,2,2,3,3,1,3,294,1,0,252,546,2,546,546,0,1092,0,0,1,1,3,1,2,5,0,0,1972,1,1,286,3,3,3,0,0,64,0,0,0,0,0,2010,NA
23,2243,41,2665,5,7,1976,1976,0,2,2,4,3,1,5,318,1,0,232,550,2,925,550,0,1475,0,0,2,0,4,1,2,6,1,3,1976,1,1,336,3,3,3,92,26,0,0,0,0,0,0,2008,NA
24,2247,21,1477,6,9,1970,2007,0,2,3,3,3,1,6,358,1,0,188,546,4,546,546,0,1092,0,0,2,1,3,1,2,6,0,0,0,0,0,0,0,0,3,187,0,0,0,0,0,0,0,2008,NA
25,2602,21,1504,4,4,1972,1972,0,2,2,3,3,1,4,252,1,0,294,546,2,546,546,0,1092,0,0,1,1,3,1,2,5,0,0,1972,1,1,253,3,3,3,0,0,0,0,0,0,0,0,2007,NA
26,2604,21,1495,4,6,1970,1970,189,2,2,3,3,1,5,384,1,0,162,546,4,546,546,0,1092,0,0,1,1,3,1,2,5,0,0,0,0,0,0,0,0,3,0,64,0,0,0,0,0,0,2007,NA
27,2605,21,1890,4,3,1976,1976,0,2,2,3,3,1,1,0,1,0,546,546,4,546,546,0,1092,0,0,1,1,3,1,2,6,0,0,1976,1,1,286,3,3,3,0,0,0,0,0,0,2,0,2007,NA
28,2907,41,2665,5,6,1977,1977,0,2,2,4,3,2,1,0,1,0,264,264,2,616,688,0,1304,0,0,1,1,3,1,2,5,1,3,1977,2,1,336,3,3,3,141,0,0,0,0,0,0,0,2006,NA
29,2911,21,1484,4,4,1972,1972,0,2,2,3,3,1,3,252,1,0,294,546,2,546,546,0,1092,0,0,1,1,3,1,2,5,0,0,1972,1,1,253,3,2,3,0,0,0,0,0,0,0,0,2006,NA
30,2913,21,1533,4,5,1970,1970,0,2,2,3,3,1,3,408,1,0,138,546,2,546,546,0,1092,0,0,1,1,3,1,2,5,0,0,1970,1,1,286,3,3,3,0,0,0,0,0,0,0,0,2006,NA
31,2914,21,1526,4,5,1970,1970,0,2,2,3,3,1,1,0,1,0,546,546,2,546,546,0,1092,0,0,1,1,3,1,2,5,0,0,0,0,0,0,0,0,3,0,34,0,0,0,0,4,0,2006,NA
32,2915,21,1936,4,7,1970,1970,0,2,2,3,3,1,1,0,1,0,546,546,3,546,546,0,1092,0,0,1,1,3,1,2,5,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,2006,NA
33,2916,21,1894,4,5,1970,1970,0,2,2,3,3,1,3,252,1,0,294,546,2,546,546,0,1092,0,0,1,1,3,1,2,6,0,0,1970,1,1,286,3,3,3,0,24,0,0,0,0,0,0,2006,NA
34,24,44,4224,5,7,1976,1976,0,2,2,4,3,1,6,840,1,0,200,1040,2,1060,0,0,1060,1,0,1,0,3,1,2,6,1,3,1976,1,2,572,3,3,3,100,110,0,0,0,0,0,0,2007,129900
35,358,44,4224,5,5,1976,1976,0,2,2,4,3,1,5,874,1,0,268,1142,2,1142,0,0,1142,1,0,1,1,3,1,2,6,1,1,1976,3,2,528,3,3,3,536,90,0,0,0,0,3,0,2007,134000
36,1614,31,2394,5,6,1973,1973,0,2,2,4,3,4,6,915,1,0,30,945,4,945,0,0,945,1,1,1,0,2,1,2,5,1,1,1973,2,1,253,3,3,3,174,0,56,0,108,0,0,0,2010,NA
37,2242,0,4224,5,6,1975,1975,0,2,2,4,3,1,6,769,1,0,271,1040,3,1040,0,0,1040,0,0,1,0,3,1,2,6,0,0,1975,1,2,499,3,3,3,0,100,0,0,0,0,0,0,2008,NA
38,269,71,6900,5,6,1940,1953,0,2,2,3,3,1,5,403,3,125,212,740,4,778,0,0,778,0,0,1,0,2,1,2,4,1,4,1966,3,1,924,5,5,3,0,25,0,0,0,0,0,0,2008,120500
39,399,60,8967,5,2,1920,1938,0,2,1,2,1,1,1,0,1,0,961,961,3,1077,0,0,1077,0,0,1,0,2,1,2,6,0,0,1920,1,1,338,1,1,1,0,0,0,0,0,0,0,0,2007,67000
40,496,60,7879,4,5,1920,1938,0,2,2,3,3,1,3,495,1,0,225,720,2,720,0,0,720,0,0,1,0,2,1,2,4,0,0,0,0,0,0,0,0,1,0,523,115,0,0,0,2,0,2009,34900
41,730,52,6240,4,5,1925,1942,0,2,2,3,3,1,4,152,1,0,628,780,2,848,0,360,1208,0,0,1,0,2,1,2,5,0,0,1962,1,2,539,3,3,3,0,23,112,0,0,0,0,0,2009,103000
42,802,40,4800,4,7,1916,1934,0,2,2,3,3,1,2,197,1,0,999,1196,4,1196,0,0,1196,1,0,1,0,2,1,2,5,0,0,1957,1,2,440,3,3,3,0,0,0,0,0,0,0,0,2007,109900
43,897,50,8765,4,6,1936,1950,0,2,2,3,3,1,5,285,1,0,666,951,4,951,0,0,951,0,0,1,0,2,1,2,6,0,0,1936,1,1,327,3,3,3,0,28,0,0,0,0,0,0,2006,106500
44,999,60,9786,3,4,1922,1939,0,2,2,3,2,1,1,0,1,0,1007,1007,1,1077,0,0,1077,0,0,1,0,3,1,2,6,1,4,1922,1,1,210,3,2,2,0,100,48,0,0,0,0,0,2006,91000
45,1062,120,18000,3,4,1935,1949,0,1,2,3,3,1,1,0,1,0,894,894,2,894,0,0,894,0,0,1,0,2,1,2,6,0,0,1994,2,3,1248,3,3,3,0,20,0,0,0,0,0,560,2008,81000
46,1121,59,8263,6,5,1920,1938,0,2,2,3,3,1,1,0,1,0,1012,1012,2,1012,0,0,1012,0,0,1,0,2,1,2,6,1,4,1920,1,1,308,3,3,3,0,22,112,0,0,0,3,0,2007,118400
47,1154,0,5890,6,8,1930,1945,0,3,3,3,3,3,5,538,1,0,278,816,4,816,0,0,816,0,0,1,0,2,1,2,5,0,0,2002,1,1,432,3,3,3,0,0,96,0,0,0,0,0,2008,120500
48,1326,40,3636,4,4,1922,1939,0,2,2,3,2,1,1,0,1,0,796,796,1,796,0,0,796,0,0,1,0,2,1,2,5,0,0,0,0,0,0,0,0,1,0,0,100,0,0,0,3,0,2008,55000
49,1601,58,8154,2,5,1941,1954,0,2,2,3,3,1,4,480,1,0,0,480,2,540,0,0,540,0,0,1,0,1,1,2,4,0,0,1951,1,1,200,2,2,1,0,0,0,0,0,0,0,0,2010,NA
50,1603,66,8712,4,7,1896,1919,0,1,1,3,3,1,1,0,1,0,756,756,3,952,0,0,952,0,0,1,0,3,1,2,5,0,0,1896,2,1,330,3,3,1,0,0,265,0,0,0,0,0,2010,NA
51,1823,72,9392,3,3,1900,1922,0,2,1,2,3,1,1,0,1,0,245,245,2,797,0,0,797,0,0,1,0,2,1,2,5,0,0,0,0,0,0,0,0,1,0,36,94,0,0,0,0,0,2009,NA
52,1914,60,10200,4,6,1925,1942,0,2,2,3,3,1,1,0,1,0,572,572,1,572,0,0,572,0,0,1,0,2,1,2,4,0,0,1940,1,1,200,3,3,1,0,0,72,0,0,0,0,0,2009,NA
53,1916,109,21780,2,4,1910,1930,0,1,1,0,0,0,0,0,0,0,0,0,2,810,0,0,810,0,0,1,0,1,1,2,4,0,0,1975,1,1,280,3,3,1,119,24,0,0,0,0,0,0,2009,NA
54,2129,0,6291,6,6,1930,1945,0,3,3,3,3,1,1,0,1,0,768,768,2,768,0,0,768,0,0,1,0,1,1,2,4,0,0,1930,1,2,440,3,3,1,0,0,84,0,0,0,0,0,2008,NA
55,2133,60,7200,6,7,1925,1942,0,2,2,3,3,1,1,0,1,0,1040,1040,3,1040,0,0,1040,0,0,1,0,2,1,2,5,0,0,1993,1,2,320,3,3,3,0,132,0,0,0,0,0,0,2008,NA
56,2135,60,10320,5,8,1912,1931,0,2,2,2,3,1,1,0,1,0,451,451,2,759,0,0,759,0,0,1,0,1,1,2,5,0,0,1997,1,2,576,3,3,1,40,0,0,0,0,0,0,0,2008,NA
57,2211,50,7000,6,8,1926,1942,0,2,3,3,3,1,3,299,6,40,555,894,2,919,0,0,919,1,0,1,0,2,1,2,5,0,0,1926,1,1,195,3,3,2,0,0,116,0,0,0,3,0,2008,NA
58,2215,60,7392,5,7,1930,1945,0,2,2,3,3,1,1,0,1,0,520,520,2,912,0,0,912,0,0,1,0,2,1,2,5,0,0,1934,2,1,360,3,3,3,0,90,0,0,0,0,0,0,2008,NA
59,2578,46,3672,5,7,1922,1939,0,2,2,3,3,1,1,0,1,0,816,816,4,816,0,0,816,0,0,1,0,2,1,2,5,0,0,1922,1,1,100,2,2,1,0,0,96,0,0,0,0,0,2007,NA
60,2582,60,6060,5,9,1930,1945,0,3,2,3,3,1,5,737,1,0,100,837,4,1001,0,0,1001,0,0,1,0,2,1,3,5,0,0,1930,1,1,216,3,1,1,154,0,42,86,0,0,0,0,2007,NA
61,2800,50,9000,5,4,1919,1937,0,2,2,3,3,1,1,0,1,0,610,610,4,819,0,0,819,0,0,1,0,2,1,3,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2006,NA
62,2801,60,7200,6,6,1930,1945,0,2,2,3,3,1,2,343,1,0,641,984,2,984,0,0,984,0,0,1,0,3,1,2,6,0,0,1930,1,1,308,3,3,1,0,0,164,0,0,0,0,0,2006,NA
63,2887,50,7288,5,6,1942,1955,0,2,2,3,3,2,3,305,1,0,671,976,2,976,0,0,976,1,0,1,0,2,1,2,5,0,0,1942,1,1,215,3,3,1,160,0,0,0,0,0,0,0,2006,NA
64,2889,61,8534,4,4,1925,1942,0,2,2,2,3,1,1,0,1,0,432,432,2,672,0,0,672,0,0,1,0,2,1,2,4,0,0,0,0,0,0,0,0,1,0,0,112,0,0,0,2,0,2006,NA
65,2890,50,7030,4,6,1925,1942,0,2,2,3,3,1,1,0,1,0,641,641,3,641,0,0,641,0,0,1,0,2,1,1,4,0,0,1925,1,1,272,3,3,1,184,0,70,0,0,0,3,0,2006,NA
66,2892,69,12366,3,5,1945,1957,0,2,2,0,0,0,0,0,0,0,0,0,2,729,0,0,729,0,0,1,0,2,1,2,5,0,0,0,0,0,0,0,0,1,0,0,23,0,0,0,0,0,2006,NA
67,22,57,7449,7,7,1930,1945,0,2,2,3,3,1,1,0,1,0,637,637,4,1108,0,0,1108,0,0,1,0,3,1,3,6,1,4,1930,1,1,280,3,3,1,0,0,205,0,0,0,4,0,2007,139400
68,326,50,5000,5,6,1941,1954,0,2,2,3,3,3,4,116,1,0,604,720,0,803,0,0,803,0,0,1,0,2,1,2,5,0,0,1941,1,2,360,3,3,3,0,0,244,0,0,0,0,0,2007,87000
69,126,60,6780,6,8,1935,1949,0,2,1,3,3,3,6,490,1,0,30,520,3,520,0,234,754,1,0,1,0,2,1,2,5,0,0,0,0,0,0,0,0,1,53,0,0,0,0,0,0,0,2006,84500
70,706,70,5600,4,5,1930,1945,0,1,1,0,0,0,0,0,0,0,0,0,1,372,720,0,1092,0,0,2,0,3,2,1,7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3500,2010,55000
71,1838,60,10320,6,7,1915,1934,0,2,3,3,3,1,3,276,5,262,160,698,4,754,649,0,1403,1,0,1,1,3,1,2,7,0,0,1915,1,1,308,3,3,3,0,0,288,0,0,0,0,0,2009,NA
72,2136,60,10320,3,3,1915,1934,0,1,1,3,2,1,1,0,1,0,536,536,4,808,536,0,1344,0,0,2,0,3,2,2,8,0,0,0,0,0,0,0,0,1,42,0,204,0,0,0,0,0,2008,NA
73,2473,52,4330,4,6,1958,1958,0,2,2,2,3,1,3,681,5,127,0,808,2,838,477,0,1315,1,0,2,0,3,1,2,5,0,0,1958,2,2,436,3,3,3,0,0,0,0,0,0,0,0,2007,NA
74,2580,75,8250,5,6,1895,1918,0,2,3,3,3,1,1,0,1,0,957,957,1,1034,957,0,1991,0,0,2,0,4,2,2,9,0,0,0,0,0,0,0,0,1,0,0,133,0,0,0,0,0,2007,NA
75,2893,50,9000,5,6,1951,1951,0,1,1,3,3,2,1,0,1,0,660,660,2,1060,336,0,1396,0,0,2,0,4,2,2,8,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,2006,NA
76,53,110,8472,5,5,1963,1963,0,1,2,4,3,4,2,104,6,712,0,816,2,816,0,0,816,1,0,1,0,2,1,2,5,0,0,1963,1,2,516,3,3,3,106,0,0,0,0,0,0,0,2010,110000
77,89,105,8470,3,2,1915,1934,0,1,1,3,2,1,1,0,1,0,1013,1013,2,1013,0,513,1526,0,0,1,0,2,1,1,6,0,0,0,0,0,0,0,0,1,0,0,156,0,0,0,3,0,2009,85000
78,105,0,7758,7,4,1931,1946,600,2,1,3,3,1,2,224,1,0,816,1040,4,1226,592,0,1818,0,0,1,1,4,1,2,7,2,3,1951,1,1,240,3,3,3,0,0,0,0,184,0,0,0,2007,169500
79,109,85,8500,5,7,1919,1937,0,2,2,3,3,1,1,0,1,0,793,793,2,997,520,0,1517,0,0,2,0,3,1,1,7,0,0,0,0,0,0,0,0,1,0,0,144,0,0,0,0,0,2007,115000
80,122,50,6060,4,5,1939,1953,0,2,2,3,3,1,1,0,1,0,732,732,3,772,351,0,1123,0,0,1,0,3,1,2,4,0,0,1979,1,1,264,3,3,2,0,0,140,0,0,0,3,0,2007,100000
81,297,75,13710,5,5,1950,1961,0,2,2,3,3,1,4,420,1,0,490,910,2,910,648,0,1558,0,0,1,1,4,1,2,6,0,0,1950,1,1,282,3,3,3,289,0,0,0,0,0,3,0,2007,152000
82,308,0,7920,6,7,1920,1938,0,2,1,3,3,1,1,0,1,0,319,319,2,1035,371,0,1406,0,0,1,0,3,1,1,6,0,0,0,0,0,0,0,0,1,0,144,0,0,0,0,3,0,2008,89500
83,449,50,8600,6,6,1937,1951,0,2,2,3,3,1,1,0,1,0,780,780,2,780,596,0,1376,0,0,2,0,3,1,2,7,1,4,1937,1,1,198,3,3,1,0,0,0,0,0,0,0,0,2006,119500
84,558,60,11040,4,6,1920,1938,0,2,2,3,3,1,3,637,1,0,0,637,3,897,439,0,1336,0,0,1,1,3,1,2,7,0,0,1994,1,1,570,3,3,3,0,47,120,0,0,0,0,0,2006,108000
85,602,50,9000,6,6,1937,1951,0,2,3,3,3,1,1,0,1,0,780,780,2,780,595,0,1375,0,0,1,1,3,1,3,6,1,4,1979,1,1,544,3,3,2,0,162,0,0,126,0,0,0,2007,141000
86,654,60,10320,6,7,1906,1927,0,2,2,3,3,1,1,0,1,0,756,756,4,756,713,0,1469,0,0,1,0,3,1,2,7,0,0,1906,1,1,216,3,3,3,57,0,239,0,0,0,3,0,2008,135000
87,712,66,8712,4,7,1900,1922,0,2,2,3,3,2,1,0,1,0,859,859,3,859,319,0,1178,0,0,1,0,2,1,2,7,0,0,1964,2,1,384,3,3,1,68,0,98,0,0,0,0,0,2010,102776
88,1280,60,7500,4,4,1920,1938,0,2,3,3,3,1,1,0,1,0,698,698,2,698,430,0,1128,0,0,1,0,2,1,2,6,0,0,1980,2,2,528,3,3,3,30,0,164,0,0,0,0,0,2010,68400
89,1334,60,7200,5,6,1938,1952,0,2,2,3,3,1,1,0,1,0,803,803,4,803,557,0,1360,0,0,1,1,2,1,3,6,0,0,1951,1,1,297,3,3,3,0,65,190,0,0,0,3,0,2006,125500
90,1386,40,5436,4,8,1922,1939,0,2,3,3,3,1,4,735,1,0,61,796,3,796,358,0,1154,1,0,1,0,3,1,3,7,0,0,1922,1,1,240,3,3,1,0,96,0,0,0,0,3,0,2010,125500
91,1602,50,9140,6,5,1921,1938,0,2,2,3,3,2,4,308,1,0,321,629,1,727,380,0,1107,0,0,1,0,2,1,2,5,0,0,1950,1,1,625,3,3,3,0,56,0,0,200,0,3,0,2010,NA
92,1836,60,5160,6,6,1927,1943,0,2,1,3,3,1,1,0,1,0,1204,1204,2,1204,462,0,1666,0,0,1,0,3,1,2,4,0,0,1927,1,1,384,2,3,3,0,0,148,0,0,0,0,0,2009,NA
93,2131,60,6876,6,6,1938,1952,0,2,2,3,3,1,1,0,1,0,1272,1272,2,1272,0,697,1969,0,0,2,0,4,1,2,9,1,4,1938,1,2,400,3,3,3,0,34,0,0,0,0,0,0,2008,NA
94,2132,0,10320,5,6,1915,1934,0,2,1,3,2,1,1,0,1,0,880,880,3,880,428,0,1308,0,0,2,0,2,1,2,6,0,0,1950,1,2,400,2,2,3,0,0,117,0,0,0,0,0,2008,NA
95,2134,62,7006,6,6,1925,1942,0,2,2,3,3,1,3,121,1,0,647,768,2,788,448,0,1236,1,0,2,0,3,1,2,6,1,4,1985,1,1,384,3,3,3,0,0,0,0,0,0,3,0,2008,NA
96,2212,60,6000,6,8,1940,1953,0,2,2,2,3,1,1,0,1,0,720,720,3,760,330,0,1090,0,0,1,0,3,1,2,5,0,0,1940,1,1,240,3,3,3,0,0,0,0,0,0,0,0,2008,NA
97,2213,58,8155,5,7,1930,1945,0,2,2,4,3,1,1,0,1,0,780,780,3,780,420,0,1200,0,0,1,0,4,1,2,7,0,0,0,0,0,0,0,0,3,0,0,96,0,0,0,0,0,2008,NA
98,2216,75,9000,5,5,1958,1958,162,2,2,3,3,1,5,330,1,0,821,1151,3,1151,804,0,1955,0,0,2,0,4,1,2,7,0,0,1958,3,1,356,3,3,3,0,0,0,0,0,0,0,0,2008,NA
99,2219,52,5150,4,7,1910,1930,0,2,2,3,3,1,1,0,1,0,356,356,2,671,378,0,1049,0,0,1,0,2,1,2,5,0,0,1910,1,1,195,1,2,1,0,0,0,0,0,0,0,0,2008,NA
100,2472,60,10320,6,5,1915,1934,0,2,2,3,2,1,2,375,1,0,763,1138,3,1138,1042,0,2180,0,0,1,1,3,1,2,7,1,4,2006,1,2,720,3,3,1,0,0,170,0,0,0,0,0,2007,NA
101,2474,60,10320,4,1,1910,1930,0,1,1,3,2,1,1,0,1,0,771,771,1,866,504,114,1484,0,0,2,0,3,1,2,6,0,0,1910,1,1,264,3,2,1,14,211,0,0,84,0,0,0,2007,NA
102,2575,50,7000,6,7,1940,1953,0,2,2,3,3,1,5,375,1,0,345,720,3,720,495,0,1215,0,0,1,0,3,1,3,6,0,0,1965,3,2,720,3,3,3,0,0,30,0,0,0,3,0,2007,NA
103,2576,50,7288,5,7,1925,1942,0,3,3,3,1,1,1,0,1,0,936,936,4,936,665,0,1601,0,0,2,0,3,1,2,6,0,0,0,0,0,0,0,0,1,0,0,0,176,0,0,0,0,2007,NA
104,2579,64,11067,2,4,1939,1953,0,2,2,0,0,0,0,0,0,0,0,0,4,640,0,205,845,0,0,1,0,1,1,2,4,0,0,1950,1,1,256,3,2,1,48,0,0,0,0,0,0,0,2007,NA
105,2792,63,4761,3,3,1918,1936,0,1,1,3,2,1,1,0,1,0,1020,1020,1,1020,0,0,1020,0,0,1,0,2,1,1,5,0,0,0,0,0,0,0,0,1,0,0,105,0,0,0,0,0,2006,NA
106,2798,60,10320,4,5,1924,1941,0,2,2,3,2,1,1,0,1,0,596,596,0,834,596,0,1430,0,0,2,0,3,1,1,7,0,0,1924,1,2,370,2,2,3,218,0,0,0,210,0,0,0,2006,NA
107,2888,50,7000,6,7,1926,1942,0,2,2,3,3,1,5,374,1,0,487,861,4,861,424,0,1285,0,1,1,0,3,1,2,6,0,0,1950,3,2,506,3,3,3,96,0,132,0,0,0,3,0,2006,NA
108,2891,75,9060,6,5,1957,1957,327,2,2,3,3,1,1,0,1,0,967,967,3,967,671,0,1638,0,0,2,0,4,1,3,6,0,0,1957,1,1,384,3,3,3,0,21,0,0,0,0,0,0,2006,NA
109,2894,60,8520,3,5,1916,1934,0,2,2,2,2,1,1,0,1,0,216,216,1,576,360,0,936,0,0,1,0,2,1,2,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2006,NA
110,1837,86,5160,4,6,1923,1940,0,2,3,4,2,3,4,749,3,63,46,858,2,892,0,0,892,1,0,1,0,1,1,3,5,0,0,0,0,0,0,0,0,1,0,0,105,0,160,0,0,0,2009,NA
111,31,50,8500,4,4,1920,1938,0,2,1,3,3,1,1,0,1,0,649,649,2,649,668,0,1317,0,0,1,0,3,1,2,6,0,0,1920,1,1,250,3,2,1,0,54,172,0,0,0,3,0,2008,40000
112,330,60,6402,5,5,1920,1938,0,2,2,3,3,2,1,0,1,0,596,596,2,596,596,0,1192,0,0,1,0,3,1,2,6,0,0,1920,1,1,189,2,2,1,0,0,137,0,0,0,2,0,2009,78000
113,366,59,10690,5,7,1920,1938,0,2,3,3,2,1,3,456,1,0,216,672,3,672,672,0,1344,0,0,1,0,3,1,2,6,0,0,1964,1,1,468,3,2,3,0,128,218,0,0,0,0,0,2009,147000
114,1097,60,6882,6,7,1914,1933,0,2,2,3,3,1,1,0,1,0,684,684,2,773,582,0,1355,0,0,1,1,3,1,3,7,0,0,0,0,0,0,0,0,3,136,0,115,0,0,0,0,0,2007,127000
115,1833,57,6876,6,5,1927,1943,0,2,2,3,2,1,4,522,1,0,198,720,1,1146,784,0,1930,1,0,2,0,4,1,2,8,0,0,1927,1,1,316,3,3,3,0,0,213,0,0,0,3,0,2009,NA
116,1913,50,8660,5,6,1900,1922,0,2,2,3,3,1,1,0,1,0,760,760,4,928,928,312,2168,0,0,2,0,5,1,3,11,0,0,1998,1,2,576,3,3,3,467,160,78,0,0,0,0,0,2009,NA
117,2130,60,10266,6,6,1952,1952,0,2,2,3,3,1,3,372,1,0,396,768,2,768,768,0,1536,0,0,1,1,4,1,2,7,0,0,1952,1,1,308,3,3,3,0,216,80,0,0,0,0,0,2008,NA
118,2218,60,5280,4,7,1895,1918,0,2,2,3,2,1,1,0,1,0,173,173,4,825,536,0,1361,0,0,1,0,2,1,2,6,0,0,1895,1,1,185,2,3,3,0,123,0,0,0,0,0,0,2008,NA
